Year,Age,Excel Cash Early,Engine Cash Early,Delta Cash Early,Excel Net Worth Early,Engine Net Worth Early,Delta Net Worth Early,Excel Cash Norm,Engine Cash Norm,Delta Cash Norm,Excel Net Worth Norm,Engine Net Worth Norm,Delta Net Worth Norm
2027,49,55502.50,55502.50,0.00,1201578.47,1201578.47,0.00,55502.50,55502.50,0.00,1201578.47,1201578.47,0.00
2028,50,63289.06,63289.06,0.00,1267279.63,1267279.63,0.00,63289.06,63289.06,0.00,1267279.63,1267279.63,0.00
2029,51,50107.39,50107.39,0.00,1313917.82,1313917.82,-0.00,50107.39,50107.39,0.00,1313917.82,1313917.82,-0.00
2030,52,66696.71,66696.71,-0.00,1392301.77,1392301.77,-0.00,66696.71,66696.71,-0.00,1392301.77,1392301.77,-0.00
2031,53,85128.79,85128.79,0.00,1474575.80,1474575.80,-0.00,85128.79,85128.79,0.00,1474575.80,1474575.80,-0.00
2032,54,116289.52,116289.52,0.00,1567819.58,1567819.58,0.00,116289.52,116289.52,0.00,1567819.58,1567819.58,0.00
2033,55,152902.82,152902.82,0.00,1659664.32,1659664.32,-0.00,152902.82,152902.82,0.00,1659664.32,1659664.32,-0.00
2034,56,99277.95,99277.95,0.00,1663097.60,1663097.60,-0.00,173992.79,173992.79,0.00,1737812.44,1737812.44,0.00
2035,57,123477.02,123477.02,0.00,1746250.59,1746250.59,-0.00,277016.01,277016.01,0.00,1899789.58,1899789.58,-0.00
2036,58,53036.83,53036.83,0.00,1734329.37,1734329.37,0.00,289679.27,289679.27,0.00,1970971.81,1970971.81,0.00
2037,59,40000.00,40000.00,0.00,1769311.49,1769311.49,-0.00,356468.97,356468.97,0.00,2094571.03,2094571.03,-0.00
2038,60,40000.00,40000.00,0.00,1802842.40,1802842.40,-0.00,427105.37,427105.37,0.00,2223952.86,2223952.86,-0.00
2039,61,156491.75,156491.75,-0.00,1799805.58,1799805.58,-0.00,501757.43,501757.43,0.00,2359363.75,2359363.75,-0.00
2040,62,142945.43,142945.43,0.00,1815488.30,1815488.30,0.00,580600.70,580600.70,0.00,2501060.70,2501060.70,0.00
2041,63,109979.34,109979.34,0.00,1832632.38,1832632.38,-0.00,663817.58,663817.58,0.00,2649311.67,2649311.67,0.00
2042,64,75786.51,75786.51,0.00,1850030.44,1850030.44,0.00,751597.53,751597.53,0.00,2804396.14,2804396.14,0.00
2043,65,60252.59,60252.59,0.00,1887611.16,1887611.16,-0.00,770700.45,770700.45,0.00,2893168.71,2893168.71,0.00
2044,66,51908.98,51908.98,0.00,1933950.17,1933950.17,-0.00,798311.62,798311.62,0.00,2992914.36,2992914.36,0.00
2045,67,369652.02,369652.02,0.00,1922217.97,1922217.97,-0.00,827148.63,827148.63,0.00,3096455.73,3096455.73,0.00
2046,68,356405.88,356405.88,0.00,1955354.97,1955354.97,-0.00,857263.03,857263.03,0.00,3203955.11,3203955.11,0.00
2047,69,342128.19,342128.19,0.00,1988821.45,1988821.45,-0.00,888708.43,888708.43,0.00,3315582.88,3315582.88,0.00
2048,70,306732.37,306732.37,0.00,2002569.79,2002569.79,-0.00,901133.64,901133.64,0.00,3411111.08,3411111.08,0.00
