row,section,subsection,sheet,cell,label,default,style_id,number_format
2,QUICK START,,Inputs,B2,QUICK START,,38,General
4,QUICK START,,Inputs,B4,Your age,48,40,"#,##0\ ;\(#,##0\);\ \ \ \-\ "
6,QUICK START,,Inputs,B6,Current net annual income,120000,40,"#,##0\ ;\(#,##0\);\ \ \ \-\ "
8,QUICK START,,Inputs,B8,Total cash balances,50000,40,"#,##0\ ;\(#,##0\);\ \ \ \-\ "
10,QUICK START,,Inputs,B10,Stock market investments,30000,40,"#,##0\ ;\(#,##0\);\ \ \ \-\ "
12,QUICK START,,Inputs,B12,Home current market value,600000,40,"#,##0\ ;\(#,##0\);\ \ \ \-\ "
15,QUICK START,,Inputs,B15,Balance,50000,40,"#,##0\ ;\(#,##0\);\ \ \ \-\ "
16,QUICK START,,Inputs,B16,Interest rate,0.03,41,0.0%
17,QUICK START,,Inputs,B17,Monthly repayment,800,40,"#,##0\ ;\(#,##0\);\ \ \ \-\ "
19,QUICK START,,Inputs,B19,Statutory retirement age,65,40,"#,##0\ ;\(#,##0\);\ \ \ \-\ "
21,QUICK START,,Inputs,B21,Annual pension at retirement,16000,40,"#,##0\ ;\(#,##0\);\ \ \ \-\ "
23,QUICK START,,Inputs,B23,Housing rent,,40,"#,##0\ ;\(#,##0\);\ \ \ \-\ "
25,QUICK START,,Inputs,B25,Annual living expenses,50000,40,"#,##0\ ;\(#,##0\);\ \ \ \-\ "
28,DEEPER DIVE,,Inputs,B28,DEEPER DIVE,,38,General
33,DEEPER DIVE,Dependents,Inputs,B33,Name,,43,General
34,DEEPER DIVE,Dependents,Inputs,B34,Annual cost,,40,"#,##0\ ;\(#,##0\);\ \ \ \-\ "
35,DEEPER DIVE,Dependents,Inputs,B35,Years to support,,40,"#,##0\ ;\(#,##0\);\ \ \ \-\ "
38,DEEPER DIVE,Dependents,Inputs,B38,Name,,43,General
39,DEEPER DIVE,Dependents,Inputs,B39,Annual cost,,40,"#,##0\ ;\(#,##0\);\ \ \ \-\ "
40,DEEPER DIVE,Dependents,Inputs,B40,Years to support,,40,"#,##0\ ;\(#,##0\);\ \ \ \-\ "
43,DEEPER DIVE,Dependents,Inputs,B43,Name,,43,General
44,DEEPER DIVE,Dependents,Inputs,B44,Annual cost,,40,"#,##0\ ;\(#,##0\);\ \ \ \-\ "
